date,SPX,QQQ,SEMIS,BOND,GOLD,OIL,USD,CASH,VIX_HEDGE,VIX,VIX3M
1926-07-01,100.1,99.77000000000001,99.02,100.01,100.0,100.61,100.0,100.01,100.0,9.0,9.0
1926-07-02,100.56045999999998,100.70783800000001,99.594316,100.020001,100.0,101.324331,100.0,100.020001,100.0,9.0,9.0
1926-07-06,100.741468828,101.2718018928,99.88313951639999,100.03000300009998,100.0,101.50671479580001,100.0,100.03000300009998,100.0,9.0,9.0
1926-07-07,100.84221029682799,100.74518852295743,99.64341998156064,100.0400060004,100.0,101.48641345284084,100.0,100.0400060004,100.0,9.0,9.0
1926-07-08,101.07414738051068,101.26906350327683,100.7893193113486,100.05001000100002,100.0,101.57775122494839,100.0,100.05001000100002,100.0,9.0,9.0
1926-07-09,100.36662834884712,100.97538321911732,98.97511156374432,100.06001500200013,100.0,99.91187610485923,100.0,100.06001500200013,100.0,9.0,9.0
1926-07-10,100.98890144460997,101.10665121730219,100.02424774632001,100.07002100350033,100.0,100.52133854909889,100.0,100.07002100350033,100.0,9.0,9.0
1926-07-12,101.03939589533226,101.36952851046716,101.12451447152952,100.08002800560067,100.0,99.17435261254096,100.0,100.08002800560067,100.0,9.0,9.0
1926-07-13,101.53448893521939,102.43390855982706,103.17734211530156,100.09003600840123,100.0,99.58096745825237,100.0,100.09003600840123,100.0,9.0,9.0
1926-07-14,101.585256179687,102.02417292558775,102.24874603626384,100.10004501200207,100.0,98.98348165350286,100.0,100.10004501200207,100.0,9.0,9.0
1926-07-15,101.15859810373232,101.70789798951843,101.44098094257734,100.11005501650328,100.0,98.76571799386515,100.0,100.11005501650328,100.0,9.0,9.0
1926-07-16,101.69473867368211,102.26729142846078,101.89746535681894,100.12006602200492,100.0,99.32868258643019,100.0,100.12006602200492,100.0,9.0,9.0
1926-07-17,102.05067025904,102.77862788560309,102.13182952713962,100.13007802860712,100.0,99.38827979598204,100.0,100.13007802860712,100.0,9.0,9.0
1926-07-19,102.0608753260659,103.49807828080229,102.9897368951676,100.14009103640997,100.0,98.88139956902255,100.0,100.14009103640997,100.0,9.0,9.0
1926-07-20,101.49954051177252,103.08408596767909,101.17711752581265,100.1501050455136,100.0,98.37710443122053,100.0,100.1501050455136,100.0,9.0,9.0
1926-07-21,100.91084317680424,102.51712349485686,100.12487550354419,100.16012005601816,100.0,97.15722833627339,100.0,100.16012005601816,100.0,9.0,9.0
