date,SPX,QQQ,SEMIS,BOND,GOLD,OIL,USD,CASH,VIX,VIX3M
2008-01-02,103.2296905517578,43.3091926574707,13.314949035644531,55.7677001953125,84.86000061035156,26.99188232421875,19.492530822753903,72.41738891601562,23.170000076293945,23.600000381469727
2008-01-03,103.1798324584961,43.489601135253906,13.081426620483398,55.88225173950195,85.56999969482422,27.199960708618164,19.53402328491211,72.3699951171875,22.489999771118164,22.809999465942383
2008-01-04,100.6512680053711,41.58232116699219,12.419076919555664,56.028656005859375,85.12999725341797,27.041820526123047,19.32656478881836,72.35420989990234,23.940000534057617,23.690000534057617
2008-01-07,100.5657730102539,41.38471603393555,12.487010955810549,56.13045120239258,84.7699966430664,26.550756454467773,19.517423629760746,72.41738891601562,23.790000915527344,23.219999313354492
2008-01-08,98.94182586669922,40.310787200927734,12.257734298706056,56.25139236450195,86.77999877929688,26.792125701904297,19.492530822753903,72.3699951171875,25.43000030517578,25.489999771118164
2008-01-09,99.9817123413086,41.16990661621094,12.278963088989258,56.162235260009766,86.55000305175781,26.525787353515625,19.64189910888672,72.32264709472656,24.1200008392334,24.5
2008-01-10,100.63699340820312,41.23006439208984,12.236505508422852,56.00953674316406,88.25,26.40093994140625,19.451038360595703,72.35420989990234,23.450000762939453,23.950000762939453
2008-01-11,99.82502746582033,40.4224739074707,11.97326374053955,56.36592102050781,88.58000183105469,26.64230728149414,19.542320251464844,72.38581085205078,23.68000030517578,24.5
2008-01-14,100.6298828125,41.126983642578125,12.380864143371582,56.39137649536133,89.54000091552734,26.975236892700195,19.44274139404297,72.44898223876953,22.899999618530273,23.670000076293945
2008-01-15,98.41471099853516,39.992889404296875,12.070919036865234,56.760498046875,87.98999786376953,26.64230728149414,19.42614364624023,72.43323516845703,23.34000015258789,24.389999389648438
2008-01-16,97.56710052490234,39.563331604003906,11.85013484954834,56.65232467651367,86.69999694824219,26.39261817932129,19.666793823242188,72.43323516845703,24.3799991607666,24.360000610351562
2008-01-17,95.03851318359376,39.01349258422851,11.68879222869873,57.11053085327149,86.5,26.051368713378903,19.633602142333984,72.40159606933594,28.459999084472656,26.440000534057617
2008-01-18,94.06272888183594,38.96192932128906,11.85013484954834,57.02777862548828,87.41999816894531,26.151243209838867,19.69168472290039,72.44898223876953,27.18000030517578,25.989999771118164
2008-01-22,93.1082992553711,37.95677185058594,11.63784122467041,57.66419219970703,88.16999816894531,26.0596923828125,19.72488021850586,72.48058319091797,31.010000228881836,27.389999389648438
2008-01-23,95.34484100341795,37.81070327758789,12.053933143615724,57.39694595336914,87.88999938964844,25.568626403808594,19.666793823242188,72.55963134765625,29.020000457763672,26.25
2008-01-24,96.14968872070312,38.58391189575195,12.266226768493652,56.87502670288086,90.08000183105467,26.20118522644043,19.50082778930664,72.59123229980469,27.780000686645508,26.0
2008-01-25,94.76072692871094,37.79352188110352,11.896838188171388,57.40322494506836,90.3000030517578,26.783803939819336,19.550617218017575,72.51220703125,29.079999923706055,26.860000610351562
2008-01-28,96.32780456542967,38.08560943603515,12.168570518493652,57.1932487487793,91.75,26.90865135192871,19.42614364624023,72.5438232421875,27.780000686645508,25.969999313354492
2008-01-29,96.80500030517578,38.154335021972656,12.121869087219238,56.96416473388672,91.1500015258789,27.133373260498047,19.417844772338867,72.60708618164062,27.31999969482422,25.649999618530273
2008-01-30,96.09271240234376,38.11996841430664,12.232258796691896,56.93868637084961,92.05999755859376,26.90032958984375,19.30167007446289,72.63865661621094,27.6200008392334,26.079999923706055
2008-01-31,97.84489440917967,38.77294158935547,11.952033996582031,57.23140335083008,91.4000015258789,27.03349494934082,19.451038360595703,72.63865661621094,26.200000762939453,25.209999084472656
2008-02-01,99.41902923583984,39.16814422607422,12.839415550231934,57.41720962524414,89.3499984741211,26.559080123901367,19.525724411010746,72.63068389892578,24.020000457763672,24.110000610351562
2008-02-04,98.16539001464844,38.61827850341797,12.525222778320312,57.09798049926758,89.0999984741211,27.02517318725586,19.492530822753903,72.64654541015625,25.989999771118164,25.360000610351562
2008-02-05,95.53713989257812,37.51857376098633,12.06667137145996,57.50016784667969,87.68000030517578,26.80044937133789,19.69998550415039,72.59907531738281,28.239999771118164,26.989999771118164
2008-02-06,94.76786041259766,36.77973556518555,11.845888137817385,57.3980712890625,88.94999694824219,26.67560386657715,19.69998550415039,72.66238403320312,28.969999313354492,27.610000610351562
2008-02-07,95.39469146728516,37.037471771240234,11.89259433746338,56.75326919555664,89.8499984741211,27.00020217895508,19.890844345092773,72.64654541015625,27.65999984741211,26.739999771118164
2008-02-08,94.78213500976562,37.45844650268555,11.952033996582031,57.23207092285156,91.0,27.80754852294922,19.83275604248047,72.64654541015625,28.010000228881836,27.059999465942383
2008-02-11,95.2664566040039,37.86224365234375,12.185555458068848,57.359745025634766,91.33000183105467,27.990657806396484,19.79126739501953,72.66238403320312,27.600000381469727,26.670000076293945
2008-02-12,96.14968872070312,37.647457122802734,12.185555458068848,57.23843002319336,89.33000183105469,27.42468643188477,19.72488021850586,72.64654541015625,26.329999923706055,26.110000610351562
2008-02-13,97.1326675415039,38.47220230102539,12.576172828674316,56.995819091796875,89.44000244140625,27.64940643310547,19.758075714111328,72.66238403320312,24.8799991607666,25.290000915527344
2008-02-14,96.27789306640624,37.776336669921875,12.287455558776855,56.68305206298828,89.70999908447266,28.207056045532227,19.69168472290039,72.67826843261719,25.540000915527344,25.469999313354492
2008-02-15,96.25653076171876,37.647457122802734,12.134605407714844,56.80436325073242,89.1500015258789,28.073888778686523,19.69168472290039,72.67826843261719,25.020000457763672,25.440000534057617
2008-02-19,96.5271987915039,37.57871627807617,12.011476516723633,56.39581298828125,91.58000183105467,28.98942756652832,19.65849494934082,72.67826843261719,25.59000015258789,25.469999313354492
2008-02-20,96.81209564208984,37.75056076049805,12.249244689941406,56.34467315673828,93.23999786376952,29.13924217224121,19.666793823242188,72.64654541015625,24.399999618530273,24.670000076293945
2008-02-21,96.00723266601562,37.389705657958984,12.232258796691896,56.925628662109375,93.25,28.981103897094727,19.525724411010746,72.70992279052734,25.1200008392334,25.09000015258789
2008-02-22,96.5984115600586,37.52717590332031,12.223769187927246,56.76605987548828,93.38999938964844,29.380619049072266,19.30167007446289,72.70992279052734,24.059999465942383,24.399999618530273
2008-02-25,97.81640625,37.716190338134766,12.30868434906006,56.38935470581055,92.73999786376952,29.663602828979492,19.4012508392334,72.67826843261719,23.030000686645508,23.93000030517578
2008-02-26,98.55003356933594,37.86224365234375,12.533711433410645,56.52985000610352,93.70999908447266,30.296161651611328,19.268476486206055,72.72576904296875,21.899999618530273,23.110000610351562
2008-02-27,98.45032501220705,38.051239013671875,12.682320594787598,56.66389465332031,94.77999877929688,30.254541397094727,19.14400291442871,72.74158477783203,22.690000534057617,23.690000534057617
2008-02-28,97.48876953125,37.90520095825195,12.503995895385742,57.327842712402344,95.98999786376952,30.54585647583008,19.036128997802734,72.74158477783203,23.530000686645508,24.290000915527344
2008-02-29,95.31635284423828,36.899993896484375,12.121869087219238,57.940670013427734,96.18000030517578,30.046464920043945,19.04442596435547,72.7574462890625,26.540000915527344,26.389999389648438
2008-03-03,95.08839416503906,36.659446716308594,12.058182716369627,57.79341125488281,97.23999786376952,30.48759078979492,19.0029354095459,72.78440856933594,26.280000686645508,26.079999923706055
2008-03-04,94.72515106201172,36.865631103515625,12.155835151672363,57.575679779052734,95.18000030517578,30.379392623901367,19.05272102355957,72.78440856933594,25.520000457763672,25.760000228881836
2008-03-05,95.32347869873048,37.046043395996094,12.291703224182127,57.325927734375,97.72000122070312,31.045244216918945,18.961441040039062,72.7685546875,24.600000381469727,24.90999984741211
2008-03-06,93.35042572021484,36.22988510131836,12.07516384124756,57.7869873046875,96.5,31.278295516967773,18.86186790466309,72.80032348632812,27.549999237060547,27.0
2008-03-07,92.38888549804688,36.14398193359375,12.155835151672363,57.985504150390625,96.08999633789062,30.962007522583008,18.919952392578125,72.80032348632812,27.489999771118164,27.110000610351562
2008-03-10,91.17091369628906,35.44805908203125,12.18130874633789,58.40176773071289,95.87000274658205,31.54462623596191,18.86186790466309,72.80032348632812,29.3799991607666,28.329999923706055
2008-03-11,94.44734954833984,36.79690933227539,12.427569389343262,57.76776885986328,95.98999786376952,32.03569412231445,18.986337661743164,72.80032348632812,26.360000610351562,26.09000015258789
2008-03-12,93.56413269042967,36.693809509277344,12.35963535308838,58.43376159667969,97.01000213623048,32.38526153564453,18.654409408569336,72.81619262695312,27.219999313354492,27.3700008392334
2008-03-13,93.77068328857422,36.977333068847656,12.444552421569824,58.12639236450195,98.33999633789062,32.418556213378906,18.60462188720703,72.80032348632812,27.290000915527344,27.18000030517578
2008-03-14,92.31766510009766,36.29859924316406,12.17706298828125,58.72833251953125,98.70999908447266,32.37693786621094,18.6378116607666,72.8955307006836,31.15999984741211,29.360000610351562
2008-03-17,91.38459777832033,35.63706970214844,12.198293685913086,59.02288055419922,99.16999816894533,31.078529357910156,18.480148315429688,72.8796157836914,32.2400016784668,29.579999923706055
2008-03-18,95.18099212646484,37.22647857666016,12.622875213623049,58.61948776245117,96.5,31.769350051879883,18.69590187072754,72.9590072631836,25.790000915527344,26.010000228881836
2008-03-19,92.8233871459961,36.30721282958984,12.189800262451172,59.1253776550293,93.04000091552734,30.396041870117188,18.71249771118164,72.97486114501953,29.84000015258789,28.780000686645508
2008-03-20,94.54273223876952,37.0492057800293,12.351143836975098,59.25346755981445,89.91000366210938,29.17253875732422,18.91165542602539,72.9590072631836,26.6200008392334,27.290000915527344
