date,SPX,QQQ,SEMIS,BOND,GOLD,OIL,USD,CASH,VIX_HEDGE,VIX,VIX3M,BREADTH,CREDIT,VXN
2008-01-02,103.22967529296875,43.30916976928711,13.314948081970215,55.767730712890625,84.86000061035156,26.99188232421875,19.492530822753906,72.41741943359375,633840.0,23.170000076293945,23.600000381469727,34.2752571105957,31.67369270324707,27.139999389648438
2008-01-03,103.17980194091797,43.48961639404297,13.081427574157715,55.88228225708008,85.56999969482422,27.199960708618164,19.534021377563477,72.37002563476562,633840.0,22.489999771118164,22.809999465942383,34.120330810546875,31.61321449279785,26.59000015258789
2008-01-04,100.65123748779297,41.58230972290039,12.419075965881348,56.02861785888672,85.12999725341797,27.041820526123047,19.326566696166992,72.35420227050781,633840.0,23.940000534057617,23.690000534057617,33.15390396118164,31.578208923339844,28.6200008392334
2008-01-07,100.56580352783203,41.38469696044922,12.48701000213623,56.130428314208984,84.7699966430664,26.550756454467773,19.517423629760742,72.41741943359375,633840.0,23.790000915527344,23.219999313354492,33.242427825927734,31.390361785888672,29.389999389648438
2008-01-08,98.94181823730469,40.31078338623047,12.257734298706055,56.25136947631836,86.77999877929688,26.792123794555664,19.492530822753906,72.37002563476562,633840.0,25.43000030517578,25.489999771118164,32.38665771484375,31.208919525146484,30.770000457763672
2008-01-09,99.981689453125,41.1699104309082,12.27896499633789,56.16224670410156,86.55000305175781,26.525789260864258,19.64189910888672,72.32261657714844,633840.0,24.1200008392334,24.5,32.73337173461914,30.868309020996094,28.18000030517578
2008-01-10,100.63699340820312,41.23006820678711,12.236505508422852,56.009552001953125,88.25,26.40093994140625,19.451040267944336,72.35420227050781,633840.0,23.450000762939453,23.950000762939453,33.1907844543457,31.097505569458008,27.780000686645508
2008-01-11,99.82495880126953,40.422489166259766,11.97326374053955,56.365943908691406,88.58000183105469,26.64230728149414,19.542322158813477,72.38585662841797,633840.0,23.68000030517578,24.5,32.74076461791992,31.16436004638672,28.81999969482422
2008-01-14,100.62984466552734,41.12696075439453,12.380865097045898,56.39139938354492,89.54000091552734,26.975234985351562,19.44274139404297,72.44900512695312,633840.0,22.899999618530273,23.670000076293945,33.07273483276367,31.056121826171875,28.079999923706055
2008-01-15,98.41471099853516,39.9929084777832,12.070919036865234,56.7605094909668,87.98999786376953,26.64230728149414,19.426143646240234,72.43318939208984,633840.0,23.34000015258789,24.389999389648438,32.22434997558594,31.135738372802734,27.479999542236328
2008-01-16,97.56710815429688,39.56333923339844,11.850133895874023,56.65227508544922,86.69999694824219,26.392614364624023,19.666791915893555,72.43318939208984,633840.0,24.3799991607666,24.360000610351562,32.28335952758789,31.10071563720703,28.8700008392334
2008-01-17,95.03855895996094,39.01347732543945,11.688794136047363,57.11054992675781,86.5,26.051366806030273,19.63360023498535,72.40161895751953,633840.0,28.459999084472656,26.440000534057617,31.331682205200195,30.881031036376953,31.15999984741211
2008-01-18,94.06272888183594,38.961936950683594,11.850133895874023,57.02775192260742,87.41999816894531,26.151247024536133,19.691686630249023,72.44900512695312,633840.0,27.18000030517578,25.989999771118164,31.103002548217773,31.122987747192383,30.229999542236328
2008-01-22,93.1082763671875,37.956748962402344,11.637842178344727,57.664161682128906,88.16999816894531,26.059690475463867,19.72488021850586,72.48060607910156,633840.0,31.010000228881836,27.389999389648438,31.11036491394043,30.906511306762695,35.630001068115234
2008-01-23,95.3448257446289,37.810699462890625,12.053934097290039,57.39691162109375,87.88999938964844,25.568628311157227,19.666791915893555,72.55963134765625,633840.0,29.020000457763672,26.25,32.09892272949219,30.966995239257812,34.02000045776367
